President,,,,,,,,,
Council-WM-candidate02,,Council-WM-candidate02-PCT,,Council-WM-candidate02-VOTE,,,,,
,,Council-WM-blankover-PCT,,Council-WM-blankover-VOTE,,,,,
,,,,,,,,,
Council-WWW,Maui County Council - Wailuku Waihee Waikapu,,,,,,,,
Council-WWW-candidate01,,Council-WWW-candidate01-PCT,,Council-WWW-candidate01-VOTE,,,,,
Council-WWW-candidate02,,Council-WWW-candidate02-PCT,,Council-WWW-candidate02-VOTE,,,,,
,,Council-WWW-blankover-PCT,,Council-WWW-blankover-VOTE,,,,,
,,,,,,,,,
Council-KAH,Maui County Council - Kahului,,,,,,,,
Council-KAH-candidate01,,Council-KAH-candidate01-PCT,,Council-KAH-candidate01-VOTE,,,,,
Council-KAH-candidate02,,Council-KAH-candidate02-PCT,,Council-KAH-candidate02-VOTE,,,,,
,,Council-KAH-blankover-PCT,,Council-KAH-blankover-VOTE,,,,,
,,,,,,,,,
Council-SM,Maui County Council - South Maui,,,,,,,,
Council-SM-candidate01,,Council-SM-candidate01-PCT,,Council-SM-candidate01-VOTE,,,,,
Council-SM-candidate02,,Council-SM-candidate02-PCT,,Council-SM-candidate02-VOTE,,,,,
,,Council-SM-blankover-PCT,,Council-SM-blankover-VOTE,,,,,
,,,,,,,,,
Council-MHP,Maui County Council - Makawao Haiku Paia,,,,,,,,
Council-MHP-candidate01,,Council-MHP-candidate01-PCT,,Council-MHP-candidate01-VOTE,,,,,
Council-MHP-candidate02,,Council-MHP-candidate02-PCT,,Council-MHP-candidate02-VOTE,,,,,
,,Council-MHP-blankover-PCT,,Council-MHP-blankover-VOTE,,,,,
,,,,,,,,,
Council-UP,Maui County Council - Upcountry,,,,,,,,
Council-UP-candidate01,,Council-UP-candidate01-PCT,,Council-UP-candidate01-VOTE,,,,,
Council-UP-candidate02,,Council-UP-candidate02-PCT,,Council-UP-candidate02-VOTE,,,,,
,,Council-UP-blankover-PCT,,Council-UP-blankover-VOTE,,,,,
,,,,,,,,,
Council-LAN,Maui County Council - Lanai,,,,,,,,
Council-LAN-candidate01,,Council-LAN-candidate01-PCT,,Council-LAN-candidate01-VOTE,,,,,
,,Council-LAN-blankover-PCT,,Council-LAN-blankover-VOTE,,,,,
,,,,,,,,,
Council-MOL,Maui County Council - Molokai,,,,,,,,
Council-MOL-candidate01,,Council-MOL-candidate01-PCT,,Council-MOL-candidate01-VOTE,,,,,
Council-MOL-candidate02,,Council-MOL-candidate02-PCT,,Council-MOL-candidate02-VOTE,,,,,
,,Council-MOL-blankover-PCT,,Council-MOL-blankover-VOTE,,,,,
,,,,,,,,,
HIamend01,Amendment 1 - Hawaii State Constitution,,,,,,,,
HIamend01-q,Shall the state constitution be amended to repeal the legislature's authority to reserve marriage to opposite-sex couples?,,,,,,,,
HIamend01-a1,,HIamend01-a1-PCT,,HIamend01-a1-VOTE,,,,,
HIamend01-a2,,HIamend01-a2-PCT,,HIamend01-a2-VOTE,,,,,
,,HIamend01-blankover-PCT,,HIamend01-blankover-VOTE,,,,,
,,,,,,,,,
HIamend02,Amendment 2 - Hawaii State Constitution,,,,,,,,
HIamend02-q,Shall the Constitution of the State of Hawaii be amended to make the appointment and confirmation process for district court judges the same as the appointment and confirmation process for supreme court justices and intermediate court of appeals and circuit court judges?,,,,,,,,
HIamend02-a1,,HIamend02-a1-PCT,,HIamend02-a1-VOTE,,,,,
HIamend02-a2,,HIamend02-a2-PCT,,HIamend02-a2-VOTE,,,,,
,,HIamend02-blankover-PCT,,HIamend02-blankover-VOTE,,,,,
,,,,,,,,,
MAUIamend01,Amendment 1 - Maui County Charter,,,,,,,,
MAUIamend01-q,Shall the Charter be amended to require the Salary Commission to determine “salaries” instead of “compensation” for elected officials and appointed directors and deputy directors to maintain consistency with the Constitution of the State of Hawaii and remove fiscal barriers to create equity through benefits such as reimbursement of travel costs?,,,,,,,,
MAUIamend01-a1,,MAUIamend01-a1-PCT,,MAUIamend01-a1-VOTE,,,,,
MAUIamend01-a2,,MAUIamend01-a2-PCT,,MAUIamend01-a2-VOTE,,,,,
,,MAUIamend01-blankover-PCT,,MAUIamend01-blankover-VOTE,,,,,
,,,,,,,,,
MAUIamend02,Amendment 2 - Maui County Charter,,,,,,,,
MAUIamend02-q,"Shall the Charter be amended, effective July 1, 2025, to authorize the Board of Ethics of the County of Maui to hire independent staff?",,,,,,,,
MAUIamend02-a1,,MAUIamend02-a1-PCT,,MAUIamend02-a1-VOTE,,,,,
MAUIamend02-a2,,MAUIamend02-a2-PCT,,MAUIamend02-a2-VOTE,,,,,
,,MAUIamend02-blankover-PCT,,MAUIamend02-blankover-VOTE,,,,,
,,,,,,,,,
MAUIamend03,Amendment 3 - Maui County Charter,,,,,,,,
MAUIamend03-q,"Shall the Charter be amended, effective July 1, 2025, to minimize the risk of vacancies on boards and commissions generally, and specifically with regard to dedicated seats for members residing in less populous areas, by allowing the appointment of members of boards and commissions for two consecutive full terms or ten consecutive years, whichever is greater?",,,,,,,,
MAUIamend03-a1,,MAUIamend03-a1-PCT,,MAUIamend03-a1-VOTE,,,,,
MAUIamend03-a2,,MAUIamend03-a2-PCT,,MAUIamend03-a2-VOTE,,,,,
,,MAUIamend03-blankover-PCT,,MAUIamend03-blankover-VOTE,,,,,
,,,,,,,,,
USHouseTotal,US House of Representatives,,,,,,,,
USHouseTotal-R,,,,,,,,,
USHouseTotal-D,,,,,,,,,
USHouseUnknown,,,,,,,,,
,,,,,,,,,
USSenateTotal,US Senate,,,,,,,,
USSenateTotal-R,,,,,,,,,
USSenateTotal-D,,,,,,,,,
USSenateUnknown,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
